__family,mean_test_btc,mean_train_btc,fees,turnover,turns,n,std_test,score
"(0.035, 0.014, 200, 240, 0.7)",0.9462299930540128,1.5914482961337817,0.0032486394848544,14.421557254643968,52.0,1,,8.218759980891143
"(0.027, 0.006, 200, 0, 1.0)",1.0501883353627055,1.421794689399006,0.0031999147864215,14.064608166743724,46.0,1,,8.136792503948147
"(0.013, 0.016, 200, 0, 0.3)",1.0203320657316888,1.4606963292346369,0.0031980117484048,14.051173597755763,36.0,1,,8.087720852861166
"(0.023, 0.013, 200, 0, 0.5)",1.0386090168133253,1.4628755210415123,0.0030572754073881,13.60177946357664,41.0,1,,7.887691473194257
"(0.021, 0.011, 200, 240, 0.7)",1.041650165806101,1.431824166864482,0.0030820944745545,13.539500030659385,52.0,1,,7.873318086661239
"(0.027, 0.014, 300, 120, 0.7)",1.1021993828317136,1.4546435245071514,0.0030181502355808,13.449073558048395,24.0,1,,7.85371801162033
"(0.026, 0.012, 300, 240, 0.7)",1.0348562205802485,1.4714414677670125,0.0029443105056193,13.098424646448011,162.0,1,,7.783624233298635
"(0.045, 0.011, 200, 120, 0.3)",1.0189366121804642,1.575337547470508,0.0029701050196197,13.207768992932207,55.0,1,,7.688601003626948
"(0.042, 0.008, 200, 240, 0.7)",1.0844152095581876,1.495104871538482,0.0029482752797082,13.13256684920502,26.0,1,,7.68025035888099
"(0.033, 0.014, 200, 240, 0.5)",1.083497217765582,1.5892225704448943,0.0028863751111985,12.857128358508136,24.0,1,,7.539175021908452
"(0.04, 0.022, 200, 120, 0.7)",1.0249102795404306,1.337212415211487,0.0029056670260389,12.923347653472954,34.0,1,,7.526178439250868
"(0.045, 0.018, 200, 120, 0.5)",1.0569863847781515,1.3677829797081509,0.0028463477591632,12.670378729349183,24.0,1,,7.41932940169358
"(0.012, 0.018, 200, 240, 0.3)",0.9984276483659308,1.326496190393965,0.0028972086117344,12.713525923658224,41.0,1,,7.403543401583308
"(0.044, 0.027, 100, 240, 0.3)",1.0423610293726129,1.2384408814736512,0.002837398085892,12.625724302006224,24.0,1,,7.382385782289833
"(0.036, 0.014, 200, 0, 0.3)",1.0171696540533333,1.3864374378411666,0.002832547165198,12.595765912397413,39.0,1,,7.3609700630868415
"(0.031, 0.014, 200, 240, 0.3)",1.0466296521368137,1.331802477191213,0.0028267586840217,12.405548009089925,23.0,1,,7.275326897997754
"(0.035, 0.012, 200, 0, 0.5)",1.094926557388909,1.6138250562928256,0.0027056623855733,12.057710231361709,22.0,1,,7.14857601068419
"(0.017, 0.022, 200, 240, 0.7)",1.007987601510967,1.0645161642781742,0.002747566321003,12.214980791856316,24.0,1,,7.142730431118122
"(0.025, 0.015, 200, 240, 0.3)",1.0044189201395717,1.364532602954498,0.0027482301012278,12.216745055537183,24.0,1,,7.1400432178069355
"(0.049, 0.024, 200, 240, 0.5)",1.093864569268395,1.3659266671086947,0.0026869746854534,11.974293561110914,25.0,1,,7.109574375138399
"(0.04, 0.015, 200, 0, 1.0)",0.9773341097157304,1.4253296470979508,0.0027100356883237,12.037951107684911,51.0,1,,7.057349627869862
"(0.027, 0.009, 300, 0, 0.5)",1.0185461506842248,1.5552987121710289,0.0027229729715117,11.9394353724971,40.0,1,,7.035540863961263
"(0.036, 0.014, 200, 240, 0.5)",1.0510359972067451,1.4030662241302958,0.0026429157595118,11.764185235485886,22.0,1,,6.957985699190177
"(0.033, 0.015, 200, 240, 1.0)",0.9789384404568936,1.4240725847933042,0.0026496934292994,11.77027795262615,39.0,1,,6.910177723340669
"(0.025, 0.005, 300, 0, 1.0)",1.0392173012958472,1.359729054432952,0.0025389696360365,11.298228250472924,177.0,1,,6.9070424568962725
"(0.041, 0.026, 100, 120, 0.5)",1.026944175147609,1.2327375211716989,0.0026136171431403,11.625928789164965,50.0,1,,6.899794952586951
"(0.037, 0.014, 200, 0, 0.7)",1.018586611683551,1.1488243429753469,0.002579552202127,11.471731841859649,22.0,1,,6.779372980411249
"(0.03, 0.018, 300, 240, 0.5)",1.009239232527887,1.389514575203472,0.0025813585179432,11.476644721207515,22.0,1,,6.772480234613702
"(0.048, 0.023, 200, 240, 0.3)",1.0832338628943283,1.3517688983151384,0.0025355451804318,11.297679493499803,30.0,1,,6.767038064463798
"(0.035, 0.022, 100, 240, 0.7)",1.021465455986581,1.19469641795849,0.0025659188732297,11.41209433930786,28.0,1,,6.759946706767281
"(0.04, 0.009, 100, 120, 0.3)",1.0004721453269676,1.2479087570944494,0.0025697999604109,11.422347139144287,22.0,1,,6.736575914938701
"(0.049, 0.016, 100, 240, 1.0)",0.9758337732436192,1.2520844731607106,0.0025387542168663,11.276142917448558,22.0,1,,6.638866477751032
"(0.037, 0.005, 200, 240, 0.3)",1.0271015760200464,1.3651619805921438,0.0024867973179619,11.06229531538784,44.0,1,,6.610762436396004
"(0.037, 0.011, 200, 240, 0.7)",0.9709180402096832,1.3819984327272363,0.0024786340726529,11.00728365877403,64.0,1,,6.552081235524046
"(0.029, 0.026, 200, 0, 0.5)",1.0125645192667716,1.225666462735083,0.00245629452867765,10.921871509832476,22.0,2,0.001652700341051426,6.49813080456907
"(0.032, 0.016, 200, 0, 0.5)",1.0594809957381457,1.217752165786233,0.0023805286559447,10.600747867885618,20.0,1,,6.38247440102501
"(0.048, 0.015, 200, 240, 0.5)",0.9887657930515732,1.3414769561817288,0.0023980015587966,10.65483930396617,41.0,1,,6.365037443475861
"(0.028, 0.008, 100, 0, 0.7)",1.030370342704561,1.2653684229329485,0.0023833267802802,10.603481357740558,20.0,1,,6.354727694794559
"(0.037, 0.019, 200, 240, 0.3)",1.0264485374665104,1.25610452287608,0.0023738568129482,10.560082188974253,20.0,1,,6.329115775140688
"(0.028, 0.015, 100, 240, 0.5)",1.044350096055575,1.1300074288641395,0.0023494194139881,10.45743056732603,20.0,1,,6.295715960304602
"(0.044, 0.03, 200, 120, 0.7)",1.0461472259133542,1.1704375590625624,0.0023415976500278,10.423263607978308,20.0,1,,6.28043743225248
"(0.038, 0.017, 300, 0, 0.7)",1.1223799978594062,1.647476401912626,0.0023014299152297,10.270137876946,18.0,1,,6.277647506417177
"(0.031, 0.013, 100, 240, 0.7)",1.0159365463291945,1.1910285928225326,0.0023518999935519,10.458985009005184,20.0,1,,6.268077150838234
"(0.039, 0.014, 100, 120, 1.0)",1.0250292564114307,1.3176658616158603,0.0023241102186383,10.338496538380292,20.0,1,,6.216953415382939
"(0.043, 0.01, 200, 0, 0.7)",1.0724212736848775,1.3305403415007788,0.0022220724802352,9.90075880532292,33.0,1,,6.061828603866102
"(0.027, 0.009, 200, 240, 0.7)",1.0874034398047778,1.3834236408720062,0.0022134491416432,9.867424036952007,18.0,1,,6.041402009139138
"(0.034, 0.008, 300, 120, 0.7)",1.0622444723001134,1.4520565972146695,0.0022247190123346,9.909129785258122,18.0,1,,6.03708464591684
"(0.049, 0.009, 200, 240, 0.7)",1.0388488642243767,1.3251359923347494,0.0021880714711292,9.738441072472735,18.0,1,,5.928381328989615
"(0.017, 0.023, 300, 120, 0.3)",0.9989633914780456,1.1779504343066354,0.0021617415636524,9.6081153272472,32.0,1,,5.840859313537993
"(0.048, 0.022, 200, 240, 1.0)",1.0089027783930298,1.243897591939178,0.0021138988076266,9.398778037407348,18.0,1,,5.728677898289077
"(0.018, 0.028, 200, 120, 0.3)",1.005901579479713,1.4093293155011968,0.0021365700781182,9.390594781758333,20.0,1,,5.724062400280761
"(0.04, 0.03, 200, 240, 0.3)",1.0690595050773413,1.1726474401332412,0.0019367651929418,8.631510725386985,16.0,1,,5.402878102577892
"(0.034, 0.007, 200, 0, 0.5)",1.049815439705497,1.3861925902949914,0.0019265630320201,8.57974969877985,16.0,1,,5.357763726063402
"(0.042, 0.011, 200, 240, 0.5)",1.0330567727197384,1.4973896934800686,0.0019260721821111,8.571981757683643,16.0,1,,5.337121579379449
