train_dd,train_final_btc,train_turns,fast_period,slow_period,ma_type,cooldown_minutes,funding_limit_long,funding_limit_short,fees_btc,test_final_btc,test_turns,turnover_btc,turns_test,position_sizing_mode,position_sizing_target_vol,position_sizing_min_step,long_only,turns
0.12823324121418678,3.1342107263541994,693.0,70,400,ema,120,0.07450661495789354,-0.054470981525479016,0.0,3.1342107263541994,693.0,0.0,693.0,volatility,0.5586336567824052,0.21609491029621447,True,693.0
0.14492919434328427,3.4611082105433937,894.0,40,400,ema,120,0.07375982438109657,-0.07020056866049218,0.0,3.4611082105433937,894.0,0.0,894.0,volatility,0.5376785811320668,0.2261077800901032,True,894.0
0.14492919434328427,3.4611082105433937,894.0,40,400,ema,120,0.07341625972477775,-0.09058643376642583,0.0,3.4611082105433937,894.0,0.0,894.0,volatility,0.5467443314048683,0.22093184659551432,True,894.0
0.1615193417090477,4.012691152186934,1197.0,20,400,ema,120,0.052719127817865086,-0.09250115973522575,0.0,4.012691152186934,1197.0,0.0,1197.0,volatility,0.5448768146117074,0.2179861399218857,True,1197.0
0.2663330498085698,1.861562067871198,68680.0,20,360,ema,120,0.06366708766484017,-0.06282009708522833,0.0,1.861562067871198,68680.0,0.0,68680.0,volatility,0.515324709870184,0.25342451636820085,False,68680.0
0.26656062458273794,2.054509172599225,69243.0,20,360,ema,120,0.0834443711514124,-0.06266544116589327,0.0,2.054509172599225,69243.0,0.0,69243.0,volatility,0.49520992235290284,0.24917463143146248,False,69243.0
0.2663330498085653,1.871594217738827,68685.0,20,360,ema,120,0.06386531033569602,-0.07011022579413309,0.0,1.871594217738827,68685.0,0.0,68685.0,volatility,0.5003965969090697,0.2551557833669728,False,68685.0
0.2663330498085653,1.871594217738827,68685.0,20,360,ema,120,0.06549055028933835,-0.06313047272084073,0.0,1.871594217738827,68685.0,0.0,68685.0,volatility,0.6016361195896123,0.2522714024778384,False,68685.0
0.1717467526075324,3.9371640534456334,1062.0,30,340,ema,120,0.054519343080879426,-0.05789908079410979,0.0,3.9371640534456334,1062.0,0.0,1062.0,static,0.5975511520959426,0.1315030817869303,True,1062.0
0.17174675260753244,3.9426307246307117,1059.0,30,340,ema,120,0.05086540636078422,-0.05949083873760579,0.0,3.9426307246307117,1059.0,0.0,1059.0,static,0.5975389761333553,0.13538344774056232,True,1059.0
