__family,mean_test_btc,mean_train_btc,fees,turnover,turns,n,std_test,score
"(0.0259, 0.0198, 120, 120, 0.5)",0.995628689704122,0.9447999315518968,0.0690076263088085,122.68022454899244,1316.0,1,,-60.413491211100904
"(0.0489, 0.0067, 120, 60, 0.33)",1.1197312872973624,2.1888596925326063,0.0696214051505298,123.77138693427524,2853.0,1,,-60.835583584990786
"(0.0499, 0.0275, 200, 60, 0.5)",0.9380053000278636,3.3056515681738845,0.0694801592060501,123.52028303297806,3677.0,1,,-60.89161637566721
"(0.035, 0.0064, 160, 60, 0.66)",0.97884269014289,1.0895161810948808,0.0700827832344818,124.59161463907868,1387.0,1,,-61.387047412630935
"(0.0416, 0.0233, 160, 120, 0.66)",1.0723163403071534,2.635143844426357,0.0708394439200289,125.9367891911629,1641.0,1,,-61.966917699194326
"(0.0453, 0.0268, 240, 180, 0.5)",1.0164077095181996,1.0412092975152134,0.0708061336575711,125.8775709467936,4100.0,1,,-61.99318389753617
"(0.0229, 0.0188, 160, 120, 0.5)",0.931552260749424,1.227997203220235,0.0716495595522469,127.37699475954987,379.0,1,,-62.82859467857776
"(0.0243, 0.0051, 160, 180, 0.33)",1.0538828160073104,1.196345368860491,0.0725905615870294,129.0498872658297,1316.0,1,,-63.54365137849457
"(0.0297, 0.0058, 200, 180, 0.5)",1.2178540570937078,1.191105393892836,0.0729419762098012,129.67462437297965,1369.0,1,,-63.69240010560592
"(0.0438, 0.0142, 160, 60, 0.5)",1.19669668655784,2.4760719540739595,0.0731186489036614,129.9887091620649,1505.0,1,,-63.87077654337828
"(0.0307, 0.0184, 160, 180, 0.33)",1.050223377877838,1.1006839036605938,0.0732422427075766,130.2084314801368,1887.0,1,,-64.12723460489813
"(0.0252, 0.0168, 160, 120, 0.33)",1.0710341628624125,2.3631940592041705,0.0740774047262822,131.69316395783582,1466.0,1,,-64.84962522078177
"(0.0469, 0.029, 320, 120, 1.0)",1.072110064278558,1.1964548305721436,0.0741684776928235,131.85507145390886,3285.0,1,,-64.92959414036869
"(0.0255, 0.013, 200, 240, 0.33)",1.0038643628800263,1.4536827487648925,0.0742063839246666,131.92246031051775,1882.0,1,,-65.03157217630351
"(0.0306, 0.0169, 200, 240, 0.5)",1.105279698821077,1.1559284483114975,0.0744400201518983,132.33781360337443,431.0,1,,-65.13806712301803
